순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
1,장재우(광천고),1,1,4,4,4,0,0,0,0,2,0,0,1,1,1
2,문정재(광천고),1,0.5,4,2,1,0,1,0,1,1,0,0,0.5,1.5,0
3,배지환(경북고),27,0.474,120,95,45,3,5,1,17,31,20,10,0.556,0.642,30
4,천현재(부경고),15,0.463,53,41,19,6,3,0,13,9,11,2,0.566,0.756,2
5,김민석(부경고),15,0.462,36,26,12,1,0,1,9,7,9,3,0.583,0.615,1
6,안영환(신흥고),16,0.452,46,31,14,3,1,0,6,8,12,1,0.605,0.613,2
7,홍혁준(충훈고),14,0.447,59,47,21,4,1,0,14,12,9,7,0.517,0.574,7
8,이상훈(김해고),13,0.438,54,48,21,2,4,0,4,9,6,1,0.5,0.646,7
9,강백호(서울고),31,0.434,133,106,46,13,0,3,34,37,27,10,0.549,0.642,10
10,성영래(진흥고),20,0.433,79,67,29,6,2,0,15,12,5,7,0.466,0.582,2
11,전영수(서울디자인고),17,0.431,63,51,22,3,1,1,4,12,11,12,0.524,0.588,11
12,김지훈(송탄제일고),18,0.424,79,66,28,1,1,0,8,18,11,7,0.494,0.47,25
13,최현준(서울고),31,0.423,141,111,47,6,3,0,25,40,28,13,0.536,0.532,20
14,김철호(율곡고),25,0.418,116,91,38,5,2,1,24,28,21,14,0.522,0.549,8
15,곽동현(신흥고),16,0.415,63,53,22,6,0,0,7,10,7,5,0.483,0.528,2
16,김기범(성지고),16,0.406,39,32,13,3,0,0,2,3,7,7,0.513,0.5,1
17,박영완(대구고),14,0.4,59,35,14,5,2,0,13,14,20,6,0.596,0.657,2
18,변우혁(북일고),16,0.4,74,65,26,6,1,2,18,10,8,6,0.459,0.615,2
19,조민석(인창고),14,0.4,49,40,16,4,0,0,4,8,9,7,0.51,0.5,5
20,노학준(물금고),13,0.4,56,50,20,2,0,1,5,7,6,13,0.464,0.5,7
21,김민수(군산상고),24,0.396,61,48,19,3,2,0,5,7,9,3,0.491,0.542,3
22,김현성(강릉고),17,0.394,80,66,26,4,1,1,10,12,11,7,0.481,0.53,6
23,배현호(경북고),27,0.393,108,84,33,5,2,2,25,16,18,24,0.481,0.571,10
24,김민기(덕수고),30,0.393,124,89,35,8,1,1,13,27,31,10,0.545,0.539,13
25,유호산(경동고),18,0.391,76,69,27,4,0,2,14,6,6,12,0.434,0.536,1
26,추재현(신일고),22,0.39,99,77,30,6,3,3,25,23,22,4,0.525,0.662,4
27,박영준(안산공고),23,0.39,99,77,30,7,2,0,12,17,18,7,0.5,0.532,2
28,이세윤(부천고),17,0.388,58,49,19,4,1,1,11,10,7,12,0.456,0.571,0
29,이유석(상원고),18,0.388,80,67,26,4,1,0,7,10,7,8,0.44,0.478,12
30,박민석(장충고),19,0.385,86,65,25,2,2,1,17,21,20,7,0.529,0.523,13
31,석정우(경남고),30,0.384,142,112,43,9,4,2,30,26,21,23,0.474,0.589,7
32,이민호(경주고),16,0.383,58,47,18,3,1,0,5,8,6,4,0.453,0.489,6
33,오승현(성남고),18,0.382,75,68,26,4,1,1,14,6,6,7,0.432,0.515,6
33,홍대용(세광고),20,0.382,85,68,26,3,1,0,19,15,13,9,0.476,0.456,5
33,김건형(제주고),17,0.382,67,55,21,1,0,1,8,14,9,7,0.469,0.455,8
36,김동휘(진흥고),20,0.38,85,71,27,2,1,0,17,11,8,13,0.422,0.437,1
37,박수현(마산용마고),28,0.379,120,95,36,7,2,2,29,16,18,13,0.458,0.558,1
38,이건희(원주고),14,0.375,50,40,15,1,1,0,3,6,7,3,0.468,0.45,5
39,문보경(신일고),22,0.371,87,70,26,6,1,0,14,21,16,9,0.483,0.486,9
39,김태윤(인상고),17,0.371,70,62,23,1,1,0,7,2,6,5,0.426,0.419,7
41,김수환(제물포고),16,0.37,65,54,20,9,0,0,5,8,11,8,0.477,0.537,5
41,이도현(제주고),17,0.37,63,54,20,7,1,0,10,9,7,9,0.429,0.537,4
41,임준형(진흥고),20,0.37,64,54,20,2,2,0,17,7,6,5,0.426,0.481,1
41,최보성(개성고),16,0.37,66,54,20,2,0,1,9,11,12,9,0.485,0.463,3
45,류규환(대전고),23,0.369,99,84,31,4,1,1,19,17,12,9,0.439,0.476,1
46,김원준(부산고),15,0.368,66,57,21,5,1,0,11,10,7,3,0.431,0.491,3
46,박대범(전주고),16,0.368,64,57,21,6,0,0,11,8,5,7,0.413,0.474,5
48,김상우(공주고),15,0.367,38,30,11,1,1,1,4,7,4,3,0.441,0.567,1
48,김현영(성지고),16,0.367,51,49,18,2,1,0,6,3,1,5,0.38,0.449,0
50,박지산(글로벌선진학교),14,0.366,52,41,15,1,1,0,2,3,10,10,0.481,0.439,0
51,이명기(동성고),29,0.365,125,104,38,16,0,1,23,15,18,16,0.452,0.548,2
51,민성우(인천고),20,0.365,82,63,23,3,0,2,20,14,12,7,0.432,0.508,2
53,황성호(동산고),24,0.364,71,55,20,5,2,0,10,11,13,8,0.485,0.527,5
54,전영도(울산공고),13,0.362,52,47,17,1,0,1,6,6,5,4,0.423,0.447,4
54,노희민(휘문고),17,0.362,62,47,17,2,0,0,13,5,11,6,0.475,0.404,6
56,김정희(청담고),15,0.361,42,36,13,0,1,0,5,10,5,4,0.429,0.417,8
56,고승민(북일고),16,0.361,78,61,22,3,0,0,8,16,12,1,0.453,0.41,5
58,이동제(화순고),17,0.359,80,64,23,6,0,0,7,14,15,16,0.481,0.453,5
59,김도환(선린인고),18,0.358,77,67,24,4,2,0,11,14,10,8,0.442,0.478,6
60,윤정빈(부천고),17,0.357,71,56,20,3,3,2,11,20,13,12,0.471,0.625,7
61,최현빈(청담고),15,0.356,55,45,16,4,0,2,8,6,10,12,0.473,0.578,0
61,임근우(휘문고),17,0.356,76,59,21,5,1,0,19,13,12,13,0.434,0.475,3
63,이상빈(신일고),22,0.354,101,79,28,4,3,0,21,23,18,10,0.46,0.481,12
64,김다운(율곡고),25,0.353,115,85,30,8,4,0,14,34,29,7,0.518,0.541,4
64,오영수(마산용마고),28,0.353,128,102,36,4,2,3,27,28,22,13,0.453,0.52,11
66,박준호(장충고),19,0.352,94,71,25,1,4,0,13,21,17,12,0.477,0.479,18
66,장민석(서울고),31,0.352,104,91,32,3,3,0,17,24,11,7,0.422,0.451,1
66,김민재(포항제철고),21,0.352,89,71,25,4,0,1,14,18,12,10,0.446,0.451,6
69,김한빈(중앙고),16,0.351,43,37,13,4,0,0,6,2,6,4,0.442,0.459,0
69,국대건(세광고),20,0.351,92,77,27,2,1,1,11,17,12,4,0.429,0.442,3
69,고동현(군산상고),24,0.351,98,74,26,2,2,0,11,23,19,14,0.474,0.432,6
72,김태원(야탑고),23,0.35,98,80,28,10,3,2,22,22,17,9,0.459,0.625,7
73,백도렬(배재고),18,0.349,81,63,22,6,1,1,13,9,11,9,0.418,0.524,5
74,한동희(경남고),30,0.348,122,92,32,5,0,5,25,24,26,19,0.487,0.565,1
74,전민재(대전고),23,0.348,105,92,32,8,3,1,10,22,12,13,0.419,0.533,11
74,김현우(마산용마고),28,0.348,118,92,32,10,0,1,20,16,23,19,0.478,0.489,1
74,이지웅(화순고),17,0.348,77,66,23,4,1,0,11,7,9,6,0.427,0.439,4
78,이윤오(대전고),23,0.347,90,75,26,5,2,0,14,13,10,12,0.404,0.467,5
79,오승택(상원고),18,0.346,74,52,18,3,2,0,9,8,14,10,0.464,0.481,6
80,이영진(군산상고),24,0.344,82,61,21,3,0,2,9,16,20,13,0.506,0.492,1
80,조해석(부산고),15,0.344,40,32,11,3,0,0,4,9,7,5,0.45,0.438,1
82,임동혁(진흥고),20,0.343,87,70,24,5,0,2,11,17,15,16,0.453,0.5,8
83,김우종(광주제일고),20,0.342,89,73,25,6,1,0,14,12,12,5,0.425,0.452,12
83,정원휘(배명고),23,0.342,93,76,26,3,2,0,11,6,12,10,0.422,0.434,1
83,한금조(청원고),17,0.342,46,38,13,0,1,0,3,5,5,4,0.409,0.395,4
86,석진영(도개고),14,0.341,51,44,15,2,0,0,5,9,6,7,0.412,0.386,6
87,장준환(유신고),21,0.34,68,50,17,8,1,1,10,16,15,5,0.485,0.6,3
87,최태성(장안고),17,0.34,65,50,17,4,1,0,5,15,14,6,0.484,0.46,1
89,정은원(인천고),20,0.338,90,71,24,5,4,0,5,22,18,6,0.467,0.521,5
89,김차민(장안고),17,0.338,70,65,22,5,1,0,17,13,5,11,0.386,0.446,4
89,조일현(포항제철고),21,0.338,98,68,23,6,0,0,11,24,26,13,0.516,0.426,7
92,김정우(동산고),24,0.337,97,83,28,5,0,0,12,13,11,17,0.406,0.398,2
93,전찬수(광천고),1,0.333,4,3,1,1,0,0,1,0,1,1,0.5,0.667,1
93,장동현(부산공고),14,0.333,56,48,16,7,2,0,14,5,3,5,0.365,0.563,1
93,윤민석(군산상고),24,0.333,98,72,24,2,4,1,15,18,20,11,0.463,0.514,14
93,김석훈(청주고),14,0.333,62,54,18,5,0,1,4,11,7,3,0.41,0.481,0
93,고명성(군산상고),24,0.333,103,84,28,5,3,0,15,16,16,13,0.436,0.464,10
93,예진원(경남고),30,0.333,131,99,33,8,2,0,17,26,28,13,0.48,0.455,9
93,박승철(화순고),17,0.333,68,60,20,4,1,0,14,7,6,10,0.388,0.433,0
93,염승헌(동산고),24,0.333,77,60,20,3,1,0,7,8,12,9,0.438,0.417,2
93,장동호(청주고),14,0.333,51,42,14,0,1,0,5,5,5,5,0.396,0.381,0
93,김태경(광천고),1,0.333,3,2,0,0,0,0,0,0,1,1,0.5,0.333,0
103,강동권(마산용마고),28,0.33,136,112,37,6,0,0,12,19,18,16,0.42,0.384,11
104,황수려(동산고),24,0.329,85,70,23,6,0,2,9,16,11,18,0.42,0.5,1
104,추진호(안산공고),23,0.329,105,76,25,8,0,0,12,13,25,13,0.49,0.434,3
106,김기훈(동성고),29,0.328,72,64,21,2,5,2,19,13,7,8,0.389,0.609,3
106,김수홍(율곡고),25,0.328,69,58,19,5,0,0,14,9,9,7,0.412,0.414,0
106,윤광현(마산고),15,0.328,71,58,19,3,1,0,10,16,11,4,0.435,0.414,12
106,선현빈(화순고),17,0.328,76,64,21,1,2,0,9,10,8,13,0.397,0.406,4
110,홍진혁(포항제철고),21,0.327,72,55,18,0,1,0,10,11,13,9,0.449,0.364,7
111,강영민(중앙고),16,0.326,52,43,14,4,0,0,3,7,9,9,0.442,0.419,1
111,장두성(동산고),24,0.326,103,86,28,2,2,0,9,17,16,12,0.427,0.395,22
111,송인환(유신고),21,0.326,55,46,15,0,1,0,5,8,6,14,0.404,0.37,6
111,강병찬(영문고),13,0.326,52,46,15,1,0,0,2,4,3,5,0.36,0.348,2
115,김태우(대구고),14,0.324,50,37,12,2,1,0,4,3,10,4,0.458,0.432,2
115,김경훈(동성고),29,0.324,89,71,23,2,2,0,9,14,12,9,0.422,0.408,2
117,장대성(군산상고),24,0.323,103,96,31,3,4,1,31,13,5,14,0.353,0.469,4
117,김대한(휘문고),17,0.323,77,65,21,7,1,0,14,9,10,9,0.408,0.462,3
119,곽빈(배명고),23,0.321,88,81,26,3,2,3,14,15,6,13,0.364,0.519,2
119,이주형(소래고),18,0.321,65,53,17,5,0,1,15,6,9,14,0.4,0.472,1
119,주성원(개성고),16,0.321,63,53,17,4,0,1,8,10,9,6,0.419,0.453,3
119,한구연(대전고),23,0.321,91,78,25,5,1,1,12,14,13,17,0.418,0.449,7
123,고민성(신흥고),16,0.32,64,50,16,6,3,0,7,10,14,9,0.469,0.56,3
123,손종호(부경고),15,0.32,62,50,16,4,1,0,6,15,10,9,0.433,0.44,0
123,최현진(경주고),16,0.32,74,50,16,3,0,0,6,12,20,13,0.5,0.38,2
126,손민규(경북고),27,0.319,123,94,30,3,3,2,19,19,20,15,0.435,0.479,16
127,박상준(세광고),20,0.318,80,66,21,4,1,1,10,16,11,7,0.41,0.455,1
127,정영웅(광주제일고),20,0.318,79,66,21,3,2,0,3,17,11,10,0.41,0.424,8
129,황영묵(충훈고),14,0.317,66,63,20,1,4,1,11,12,3,3,0.348,0.508,6
129,최상민(북일고),16,0.317,79,63,20,2,2,0,6,11,12,9,0.421,0.413,11
129,김성헌(백송고),17,0.317,48,41,13,1,1,0,4,6,6,7,0.404,0.39,4
129,한김미르(설악고),19,0.317,81,63,20,2,1,0,9,11,15,9,0.443,0.381,1
129,김지찬(송탄제일고),18,0.317,73,63,20,1,1,0,8,13,8,5,0.394,0.365,22
134,이인혁(덕수고),30,0.316,101,76,24,2,1,0,11,25,22,17,0.469,0.368,10
135,박준호(제주고),17,0.315,63,54,17,3,1,0,6,9,6,5,0.377,0.407,1
135,심주형(마산고),15,0.315,64,54,17,4,0,0,13,7,5,7,0.367,0.389,1
135,허태욱(공주고),15,0.315,71,54,17,0,1,0,6,14,13,6,0.435,0.352,10
138,홍대인(세광고),20,0.314,68,51,16,4,2,0,4,7,12,7,0.438,0.471,1
138,권석민(원주고),14,0.314,59,51,16,1,3,0,1,5,4,7,0.364,0.451,2
138,김태원(중앙고),16,0.314,40,35,11,0,1,0,1,5,4,3,0.385,0.371,1
141,정상혁(글로벌선진학교),14,0.313,40,32,10,1,2,0,2,3,5,4,0.405,0.469,1
141,이상혁(마산용마고),28,0.313,124,99,31,7,1,1,19,20,20,12,0.421,0.434,3
141,이제안(안산공고),23,0.313,92,64,20,4,0,0,8,12,23,8,0.489,0.375,2
141,공민규(인천고),20,0.313,86,64,20,2,0,0,9,14,22,10,0.488,0.344,7
145,염민욱(배명고),23,0.312,100,93,29,2,3,0,10,13,5,17,0.347,0.398,1
146,박준형(북일고),16,0.311,68,45,14,3,1,0,14,10,19,5,0.5,0.422,3
146,강민준(경기고),19,0.311,53,45,14,4,0,0,9,5,6,10,0.385,0.4,0
146,윤병권(청원고),17,0.311,72,61,19,1,0,0,11,10,10,11,0.403,0.328,3
149,조효원(공주고),15,0.31,67,58,18,2,0,2,13,9,6,14,0.369,0.448,6
149,강연규(북일고),16,0.31,64,42,13,1,1,0,8,6,18,4,0.5,0.381,2
149,강민성(물금고),13,0.31,57,42,13,1,1,0,6,7,12,7,0.446,0.381,10
152,유준혁(청원고),17,0.309,76,55,17,1,0,0,7,12,16,9,0.458,0.327,7
153,권영호(경남고),30,0.308,140,107,33,9,4,0,25,23,28,26,0.452,0.467,5
153,임지훈(군산상고),24,0.308,82,65,20,3,2,0,12,20,14,15,0.42,0.415,0
155,정문근(서울고),31,0.306,127,111,34,7,5,1,24,14,10,28,0.352,0.486,4
155,오승현(경기고),19,0.306,80,62,19,3,1,1,16,9,16,11,0.438,0.435,2
155,최지효(장안고),17,0.306,56,36,11,1,1,0,9,11,14,7,0.49,0.389,3
155,전정배(동성고),29,0.306,134,108,33,2,3,0,9,23,22,10,0.423,0.38,17
155,류승범(설악고),19,0.306,77,72,22,3,1,0,8,10,2,13,0.316,0.375,4
155,양승혁(서울고),31,0.306,144,98,30,2,2,0,16,27,25,13,0.444,0.367,13
155,김영훈(배명고),23,0.306,73,62,19,1,1,0,5,6,7,14,0.377,0.355,6
162,노시환(경남고),30,0.305,127,105,32,7,1,4,25,25,14,18,0.38,0.505,2
162,오혜성(성남고),18,0.305,73,59,18,1,3,0,11,7,10,15,0.4,0.424,2
162,김상휘(상원고),18,0.305,70,59,18,1,2,0,5,6,9,11,0.397,0.39,2
162,석지훈(북일고),16,0.305,74,59,18,1,0,0,8,14,9,7,0.391,0.322,6
166,최현준(경북고),27,0.304,118,92,28,5,1,2,12,24,18,18,0.411,0.446,14
166,최현유(소래고),18,0.304,56,46,14,0,2,0,8,10,7,5,0.382,0.391,1
166,이지담(부천고),17,0.304,58,46,14,3,0,0,5,7,9,12,0.411,0.37,0
166,김정현(포항제철고),21,0.304,87,69,21,4,0,0,15,15,15,13,0.429,0.362,1
166,양우현(충암고),25,0.304,104,79,24,2,1,0,15,14,19,12,0.434,0.354,16
166,안창호(배재고),18,0.304,71,56,17,0,1,0,4,12,13,14,0.429,0.339,14
166,전승우(신흥고),16,0.304,65,56,17,0,0,0,7,6,5,8,0.355,0.304,3
173,이용진(진흥고),20,0.303,91,76,23,1,2,0,7,20,13,16,0.404,0.368,15
173,곽운용(글로벌선진학교),14,0.303,39,33,10,1,0,0,3,2,4,11,0.368,0.333,2
175,김재엽(김해고),13,0.302,53,43,13,2,3,0,11,6,7,9,0.377,0.488,8
175,설재성(부산정보고),15,0.302,58,43,13,4,1,0,3,7,8,15,0.412,0.442,3
175,유민후(율곡고),25,0.302,108,86,26,5,3,0,18,18,17,13,0.413,0.43,0
175,이상민(김해고),13,0.302,50,43,13,1,2,0,3,6,7,17,0.4,0.419,5
175,석현수(강원고),14,0.302,52,43,13,4,0,0,4,4,9,10,0.423,0.395,1
180,윤영수(덕수고),30,0.301,87,73,22,3,2,0,21,8,7,8,0.345,0.397,6
180,장지환(서울고),31,0.301,134,113,34,5,2,0,16,22,11,21,0.363,0.381,13
182,정준영(포항제철고),21,0.3,86,70,21,4,1,1,19,11,11,4,0.386,0.429,0
182,이한별(휘문고),17,0.3,76,60,18,2,2,0,5,13,12,7,0.417,0.4,4
182,최준우(장충고),19,0.3,82,60,18,4,1,0,11,15,22,5,0.488,0.4,12
182,성원준(인천고),20,0.3,85,70,21,3,0,1,17,17,11,15,0.386,0.386,5
182,신희룡(공주고),15,0.3,57,40,12,1,1,0,5,8,16,10,0.491,0.375,0
182,신철민(울산공고),13,0.3,37,30,9,0,1,0,2,2,3,6,0.364,0.367,4
182,권영준(포항제철고),21,0.3,89,60,18,2,1,0,14,14,25,14,0.494,0.367,0
182,구승회(백송고),17,0.3,52,40,12,2,0,0,8,4,11,10,0.442,0.35,3
182,김윤범(인창고),14,0.3,51,40,12,0,0,0,0,6,9,6,0.429,0.3,4
191,고정현(경북고),27,0.299,113,97,29,6,5,0,13,21,6,16,0.333,0.464,2
191,남영재(덕수고),30,0.299,124,97,29,6,2,0,20,25,19,22,0.403,0.402,7
191,박준수(대전고),23,0.299,98,77,23,3,1,0,16,13,12,8,0.38,0.364,2
194,배성렬(경북고),27,0.298,106,94,28,5,0,3,24,8,7,19,0.337,0.447,2
