순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
620,이현서(동성고),29,1,1,1,1,0,1,0,2,0,0,0,1,3,0
620,김원경(마산고),15,1,1,1,1,1,0,0,2,1,0,0,1,2,0
620,허민균(장안고),17,1,2,1,1,1,0,0,1,0,1,0,1,2,0
620,김장민(영선고),16,1,1,1,1,1,0,0,0,0,0,0,1,2,0
620,장민혁(인창고),14,1,1,1,1,1,0,0,0,1,0,0,1,2,1
620,김태경(장안고),17,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,정우석(신일고),22,1,2,1,1,0,0,0,0,0,0,0,1,1,0
620,김성욱(부산고),15,1,1,1,1,0,0,0,1,0,0,0,1,1,0
620,김대원(청담고),15,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,김지혁(신일고),22,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,이주형(경남고),30,1,1,1,1,0,0,0,0,2,0,0,1,1,0
620,강동훈(신흥고),16,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,이재민(상우고),15,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,김용학(상원고),18,1,1,1,1,0,0,0,0,1,0,0,1,1,0
620,김기수(청원고),17,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,서대원(인창고),14,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,한승룡(전주고),16,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,안동환(신일고),22,1,1,1,1,0,0,0,1,0,0,0,1,1,0
620,박찬영(부산정보고),15,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,황건호(서울디자인고),17,1,3,1,1,0,0,0,0,1,1,0,1,1,0
620,유현우(성지고),16,1,2,1,1,0,0,0,0,0,1,0,1,1,0
620,이제웅(장충고),19,1,2,1,1,0,0,0,0,1,1,0,1,1,0
620,최윤혁(신일고),22,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,남호(유신고),21,1,1,1,1,0,0,0,0,0,0,0,1,1,0
620,권동윤(부산공고),14,1,1,1,1,0,0,0,0,0,0,0,1,1,0
645,이도현(청주고),14,0.75,4,4,3,0,0,0,1,1,0,0,0.75,0.75,0
646,유현(제주고),17,0.667,3,3,2,0,0,0,1,0,0,1,0.667,0.667,0
647,김민성(충훈고),14,0.5,2,2,1,0,1,0,2,1,0,0,0.5,1.5,0
647,서유신(광주제일고),20,0.5,3,2,1,0,1,0,2,3,1,1,0.667,1.5,1
647,전광진(광주제일고),20,0.5,2,2,1,1,0,0,0,1,0,1,0.5,1,0
647,이상혁(장안고),17,0.5,6,6,3,0,1,0,2,1,0,0,0.5,0.833,0
647,박종혁(배명고),23,0.5,8,6,3,0,1,0,0,1,1,1,0.571,0.833,0
647,이동훈(대구고),14,0.5,6,4,2,1,0,0,1,2,2,1,0.667,0.75,2
647,원유성(경북고),27,0.5,15,12,6,0,1,0,1,2,3,3,0.6,0.667,0
647,한재민(중앙고),16,0.5,2,2,1,0,0,0,0,0,0,0,0.5,0.5,0
647,박재완(동성고),29,0.5,2,2,1,0,0,0,1,0,0,0,0.5,0.5,0
