순위,이름(팀명),경기,승,패,세이브,이닝,타자,타수,피안타,피홈,희생,4구,사구,삼진,실점,자책,투구,S,방어율
234,남상현(경남고),30,2,0,0,8.2,31,26,4,0,3,1,1,11,0,0,131,0,0
234,김대원(충암고),25,2,0,0,11,40,33,5,0,2,4,1,8,2,0,157,0,0
234,곽용환(동산고),24,1,0,0,3,15,10,1,0,0,5,0,4,0,0,67,0,0
234,이명기(동성고),29,1,0,0,2.2,18,11,4,0,0,3,0,2,2,0,59,0,0
234,이종민(성남고),18,0,0,0,2,8,4,0,0,0,3,1,0,0,0,48,0,0
234,황동민(군산상고),24,0,0,0,2,9,7,1,0,0,1,1,2,0,0,46,0,0
234,하회준(설악고),19,1,0,0,4.1,24,15,3,0,3,2,2,4,0,0,75,0,0
234,임준형(진흥고),20,0,0,0,2.1,11,8,3,0,1,2,0,1,0,0,40,0,0
234,오원석(야탑고),23,0,1,0,3.2,15,12,2,0,0,2,1,3,1,0,59,0,0
234,원태인(경북고),27,2,0,0,18.2,74,57,8,0,4,5,2,20,5,0,262,0,0
234,배지환(경북고),27,0,0,0,2,9,7,1,0,0,1,1,4,0,0,36,0,0
234,한건희(대전고),23,0,0,0,1.1,8,4,1,0,1,2,1,1,0,0,33,0,0
234,강준식(북일고),16,1,1,0,5.1,21,19,2,0,1,1,0,4,5,0,62,0,0
234,윤준성(장안고),17,0,0,0,2,7,6,0,0,0,1,0,0,0,0,31,0,0
234,이성찬(유신고),21,0,0,0,0.2,5,2,0,0,0,1,2,2,0,0,28,0,0
234,이건(신일고),22,0,0,0,1,5,4,1,0,0,1,0,2,1,0,27,0,0
234,황영묵(충훈고),14,0,0,0,1.1,6,4,0,0,0,1,1,2,0,0,25,0,0
234,김선호(세광고),20,0,0,0,1.1,7,5,2,0,0,1,1,0,0,0,24,0,0
234,배진호(진영고),16,1,0,0,4.1,17,16,3,0,0,1,0,3,0,0,56,0,0
234,이시훈(송탄제일고),18,0,0,0,1.2,9,7,2,0,0,1,1,0,3,0,34,0,0
234,박상빈(상원고),18,0,0,0,3,11,9,2,0,0,2,0,2,0,0,49,0,0
234,석상호(청원고),17,0,0,0,1.1,7,6,3,0,0,1,0,1,0,0,22,0,0
234,송영훈(성남고),18,0,0,0,0.2,6,3,1,0,0,3,0,0,0,0,32,0,0
234,김석주(대구고),14,0,0,0,2,10,8,0,0,0,2,0,1,0,0,43,0,0
234,김민창(마산고),15,0,0,0,5.1,20,18,3,0,0,2,0,2,1,0,87,0,0
234,성정우(장안고),17,0,0,0,4.2,16,15,3,0,1,0,0,2,0,0,51,0,0
234,김범준(대구고),14,0,0,0,1,5,3,0,0,0,2,0,1,0,0,20,0,0
234,신희수(동성고),29,0,0,0,1.1,8,7,2,0,0,1,0,0,1,0,33,0,0
234,김형준(세광고),20,0,0,0,7,26,19,2,0,3,3,1,7,0,0,95,0,0
234,이강준(설악고),19,0,0,0,1.2,8,6,3,0,1,1,0,2,0,0,35,0,0
234,이준선(효천고),17,0,0,0,1,4,4,1,0,0,0,0,1,0,0,19,0,0
234,강민기(공주고),15,0,0,0,1,6,4,1,0,0,2,0,0,0,0,19,0,0
234,김남훈(제물포고),16,0,0,0,1.1,8,3,0,0,1,4,0,1,1,0,38,0,0
234,박찬호(영문고),13,0,0,0,1.1,5,4,1,0,0,1,0,2,0,0,18,0,0
234,위호연(청주고),14,0,1,0,0.1,5,2,1,0,0,1,2,0,1,0,18,0,0
234,안승준(강릉고),17,0,0,0,3.2,14,12,4,0,2,0,0,0,1,0,43,0,0
234,우승헌(중앙고),16,0,0,0,1,5,5,2,0,0,0,0,1,0,0,17,0,0
234,배용수(광주제일고),20,0,0,0,0.1,5,2,1,0,0,2,1,0,0,0,16,0,0
234,김태경(마산용마고),28,0,0,0,1,4,4,1,0,0,0,0,0,0,0,16,0,0
234,배지호(충암고),25,0,0,0,2,8,7,1,0,0,1,0,3,0,0,27,0,0
234,배세창(도개고),14,0,1,0,0,4,2,2,0,0,2,0,0,4,4,16,0,0
234,장준혁(부산고),15,0,0,0,1,4,4,2,0,0,0,0,0,0,0,15,0,0
234,김현영(성지고),16,0,0,0,0,4,2,2,0,0,1,1,0,4,4,15,0,0
234,박대현(경주고),16,0,0,0,0.2,4,3,1,0,0,1,0,0,0,0,15,0,0
234,최상현(청원고),17,0,0,0,0,4,3,3,0,0,1,0,0,1,1,14,0,0
234,손주환(부산정보고),15,0,0,0,1.2,8,8,3,0,0,0,0,1,0,0,29,0,0
234,한현서(야탑고),23,0,0,0,3.2,19,16,5,0,0,3,0,5,0,0,79,0,0
234,김동현(인천고),20,0,0,0,1,7,4,1,0,1,1,1,0,1,0,26,0,0
234,박상희(인창고),14,0,0,0,3,11,10,1,0,1,0,0,4,0,0,45,0,0
234,김종국(광주제일고),20,0,0,0,0.1,3,1,1,0,1,0,1,0,0,0,12,0,0
234,홍정표(청원고),17,0,0,0,0,5,0,0,0,0,4,1,0,2,2,23,0,0
234,박철우(충훈고),14,0,1,0,0,2,0,0,0,0,2,0,0,2,2,11,0,0
234,김강민(강릉고),17,0,1,0,1.1,9,4,1,0,0,5,0,1,2,0,41,0,0
234,이창호(부산고),15,0,0,0,0.2,4,3,2,0,1,0,0,1,0,0,11,0,0
234,김병수(인천고),20,0,1,0,0.2,5,2,1,0,1,0,0,1,2,0,10,0,0
234,신승호(성남고),18,1,0,0,3,9,8,0,0,0,0,1,1,0,0,32,0,0
234,조승원(전주고),16,0,0,0,1,4,3,0,0,0,1,0,0,0,0,10,0,0
234,한용희(대전고),23,0,0,0,0,3,2,2,0,0,1,0,0,2,2,10,0,0
234,이지민(안산공고),23,0,0,0,1,3,3,0,0,0,0,0,0,0,0,10,0,0
234,안희찬(동산고),24,0,0,0,0.2,2,2,0,0,0,0,0,0,0,0,9,0,0
234,홍의성(안산공고),23,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0
234,박준형(대전고),23,0,0,0,0,2,0,0,0,0,2,0,0,2,2,9,0,0
234,김도연(경동고),18,0,0,0,1,4,2,0,0,1,0,1,0,0,0,11,0,0
234,최재성(북일고),16,0,0,0,0.1,2,1,0,0,0,0,1,0,0,0,9,0,0
234,전상촉(대전고),23,0,0,0,2,10,5,0,0,0,4,1,0,0,0,42,0,0
234,김승준(성남고),18,0,0,0,0.1,3,3,2,0,0,0,0,0,1,0,12,0,0
234,허수빈(청담고),15,0,0,0,1,3,3,1,0,0,0,0,0,0,0,8,0,0
234,김현준(부산정보고),15,0,0,0,1.2,7,7,1,0,0,0,0,0,0,0,19,0,0
234,유재현(청주고),14,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0
234,안제섭(진흥고),20,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0
234,김시우(소래고),18,0,0,0,1,3,3,0,0,0,0,0,0,0,0,8,0,0
234,김정원(북일고),16,0,0,0,3,11,9,1,0,0,1,1,1,0,0,39,0,0
234,조성훈(영선고),16,0,0,0,0.1,4,3,1,0,0,1,0,0,1,0,20,0,0
234,안인산(야탑고),23,2,0,0,6.2,26,25,5,0,0,1,0,4,1,0,90,0,0
234,성준민(광주제일고),20,0,0,0,0.1,1,0,0,0,0,1,0,0,0,0,6,0,0
234,우휘창(백송고),17,0,0,0,0.2,2,2,0,0,0,0,0,1,0,0,6,0,0
234,김교중(신흥고),16,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,6,0,0
234,김동환(물금고),13,0,0,0,1,5,3,1,0,0,1,1,0,0,0,21,0,0
234,김우주(군산상고),24,0,0,0,0.1,2,2,1,0,0,0,0,1,0,0,6,0,0
234,이대범(영선고),16,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,4,0,0
234,정재웅(경동고),18,0,0,0,0.1,1,1,0,0,0,0,0,1,0,0,4,0,0
234,양영수(배명고),23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0
234,박상하(화순고),17,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,3,0,0
234,이현준(부천고),17,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,3,0,0
234,김민종(성남고),18,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0
234,김인범(전주고),16,2,1,0,15.2,70,63,17,0,1,4,2,12,4,0,285,0,0
234,김경륜(동산고),24,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,2,0,0
321,유호식(성남고),18,2,0,0,14.1,53,50,9,0,0,2,1,18,1,1,231,0,0.628
322,김동윤(부산고),15,2,0,0,12.1,49,41,6,0,0,7,1,8,2,1,187,0,0.731
322,조준혁(광주제일고),20,0,1,0,12.1,50,43,7,1,1,3,3,9,4,1,172,0,0.731
324,이재환(대전고),23,2,0,0,22.1,93,79,14,1,2,9,3,12,7,2,316,0,0.808
325,최현일(서울고),31,1,1,0,21.1,75,68,9,0,3,3,1,22,3,2,304,0,0.844
326,장두환(충훈고),14,1,0,0,8.2,38,28,5,0,0,4,6,6,1,1,142,0,1.039
327,이정진(장충고),19,2,0,0,8.2,37,30,6,0,0,7,0,5,1,1,136,0,1.04
328,김영권(군산상고),24,0,0,0,8,39,29,4,0,0,7,3,4,2,1,148,0,1.126
329,양원중(덕수고),30,1,0,0,7.1,26,24,3,0,1,0,1,5,1,1,89,0,1.228
330,이학준(배재고),18,0,0,0,7.1,37,24,8,1,1,11,1,2,3,1,155,0,1.23
331,김두한(부산정보고),15,0,0,0,14.1,57,46,7,0,2,7,2,7,2,2,236,0,1.257
332,윤성민(인천고),20,1,0,0,14,59,49,11,0,2,7,1,9,2,2,211,0,1.287
333,최종완(인천고),20,1,2,0,13.2,69,55,13,0,2,3,9,12,10,2,252,0,1.319
334,최상민(북일고),16,0,1,0,6.2,32,24,7,0,2,4,0,5,2,1,124,0,1.351
335,손남우(설악고),19,0,0,0,5.2,27,21,6,0,1,3,2,1,3,1,101,0,1.59
336,성금대(상원고),18,2,0,0,5.1,22,20,5,0,0,2,0,1,2,1,73,0,1.689
336,김현권(물금고),13,0,0,0,10.2,44,32,5,0,1,7,4,8,2,2,191,0,1.689
338,김윤섭(백송고),17,0,1,0,10.2,42,38,8,0,0,2,2,7,3,2,145,0,1.69
339,최영기(영선고),16,0,0,0,5.1,30,16,2,0,3,7,4,4,2,1,109,0,1.692
340,장대성(군산상고),24,1,0,0,5,22,18,5,0,1,3,0,2,2,1,91,0,1.8
340,남호(유신고),21,0,0,0,5,21,18,3,0,0,3,0,7,1,1,89,0,1.8
340,임우석(울산공고),13,0,0,0,5,23,20,6,0,0,1,2,4,2,1,79,0,1.8
340,조정호(광주제일고),20,0,0,0,5,21,16,4,0,1,3,1,3,1,1,78,0,1.8
344,박용민(덕수고),30,2,1,0,25,106,97,22,1,2,6,1,20,7,5,339,0,1.802
345,조효원(공주고),15,1,0,0,5,22,19,5,0,0,0,1,2,2,1,67,0,1.804
346,최건희(덕수고),30,0,0,0,14.2,71,53,11,0,1,15,2,10,5,3,287,0,1.844
347,김지웅(안산공고),23,0,1,0,9.2,43,33,8,0,3,5,2,3,3,2,147,0,1.863
348,박상용(광주제일고),20,1,1,0,9.1,37,34,7,0,2,1,0,6,3,2,129,0,1.931
349,백민영(신일고),22,1,0,0,9,35,28,6,0,3,4,0,7,3,2,144,0,2.002
350,김영묵(경남고),30,2,0,0,13.1,58,51,13,0,1,5,1,7,5,3,208,0,2.026
351,홍민석(경주고),16,1,1,0,13.1,60,41,9,0,3,14,2,9,3,3,245,0,2.027
352,장재원(유신고),21,0,0,0,12.1,48,44,11,0,0,1,3,14,3,3,187,0,2.192
353,이권탁(성남고),18,1,0,0,16.1,65,52,9,0,0,7,6,7,4,4,219,0,2.206
354,김창훈(마산고),15,0,0,0,4,18,15,4,0,0,2,1,3,1,1,73,0,2.25
355,백미카엘(덕수고),30,0,1,0,26.2,120,89,15,0,3,22,6,31,11,7,534,0,2.365
356,김윤식(진흥고),20,1,1,0,15,60,48,9,0,5,4,1,10,6,4,216,0,2.403
357,이장우(대전고),23,0,1,0,18.2,94,66,17,1,6,15,5,12,10,5,357,0,2.419
358,김성민(진흥고),20,0,0,0,10.2,39,31,3,0,2,5,1,6,3,3,140,0,2.535
359,신의찬(서울고),31,1,1,0,14,73,51,11,0,2,16,4,9,10,4,274,0,2.575
360,소형준(유신고),21,0,1,0,10.1,45,37,9,0,1,2,3,9,5,3,150,0,2.614
361,김경식(인천고),20,1,1,0,10.1,47,35,12,0,3,6,3,6,3,3,167,0,2.616
362,박영하(상원고),18,1,0,0,6.2,33,31,13,0,2,0,0,2,3,2,92,0,2.703
363,이나현(충암고),25,0,1,0,6.2,37,23,7,0,2,8,4,6,4,2,155,0,2.707
364,이상민(상원고),18,0,0,0,3.1,13,12,2,0,0,1,0,1,1,1,51,0,2.711
365,오상민(경북고),27,2,1,0,16.1,86,59,13,0,4,21,2,15,10,5,361,0,2.759
366,손용준(김해고),13,0,1,0,9.2,46,37,8,1,1,7,1,9,5,3,172,0,2.801
367,권석민(원주고),14,0,1,0,12.1,48,42,10,1,3,2,1,5,4,4,146,0,2.922
368,이정훈(경남고),30,1,0,0,18.1,79,65,14,0,3,9,2,20,8,6,309,0,2.949
369,한규영(인천고),20,0,0,0,3,14,11,2,0,0,2,1,1,1,1,49,0,3
370,최우석(덕수고),30,5,0,0,29.1,133,112,29,0,1,14,6,15,11,10,460,0,3.074
371,이동민(야탑고),23,2,0,0,19.2,89,64,14,0,4,18,3,18,11,7,334,0,3.204
372,연성모(글로벌선진학교),14,0,0,0,8.1,46,30,6,0,1,11,4,6,5,3,200,0,3.241
373,이강민(서울고),31,1,0,0,13.2,57,49,13,0,1,6,1,7,6,5,210,0,3.297
374,이교훈(서울고),31,1,2,0,24.1,112,90,21,1,6,11,5,31,12,9,430,0,3.332
375,이호선(동성고),29,2,1,0,26.2,114,101,25,1,1,10,2,27,11,10,393,0,3.377
376,황병재(경북고),27,1,0,0,2.2,9,8,0,0,0,1,0,1,1,1,43,0,3.383
376,최현진(청주고),14,0,0,0,5.1,31,27,10,0,1,1,2,1,9,2,101,0,3.383
376,도형준(대구고),14,0,0,0,2.2,13,11,2,0,0,2,0,1,2,1,49,0,3.383
376,최지원(김해고),13,0,0,0,8,34,33,10,0,0,0,1,5,3,3,137,0,3.383
380,김원호(동산고),24,0,2,0,18,86,62,18,0,7,14,3,10,9,7,320,0,3.504
381,천보웅(제물포고),16,0,3,0,15.1,82,57,14,0,2,15,4,20,10,6,308,0,3.527
382,유태웅(동산고),24,2,1,0,22.2,96,80,17,0,5,8,2,18,11,9,340,0,3.578
383,김현수(소래고),18,1,0,0,5,20,15,1,0,0,2,3,3,2,2,85,0,3.6
384,탁건(화순고),17,0,1,0,10,37,35,10,0,0,2,0,1,4,4,132,0,3.604
385,박영완(대구고),14,0,1,0,7.1,27,23,5,0,2,2,0,5,5,3,106,0,3.694
386,송명기(장충고),19,0,0,0,9.2,43,35,8,0,1,5,2,12,4,4,175,0,3.731
