순위,이름,학교,포지션
1,강백호,서울고,포수
2,김형준,세광고,포수
3,이재원,서울고,외야수
4,예진원,경남고,외야수
5,오영수,오영수,내야수
6,정은원,인천고,내야수
7,최현준,서울고,내야수
8,추재현,신일고,외야수
9,김철호,율곡고,내야수
10,고명성,군산상고,내야수
11,이태훈,홍익대학교,내야수
12,이원석,충암고,외야수
13,최준우,장충고,내야수
14,오정환,경기고,내야수
15,배현호,경북고,포수
16,전민재,대전고,내야수
17,윤정빈,부천고,내야수
18,전경원,성남고,포수
19,김수환,제물포고,내야수
20,이호연,성균관대학교,내야수
21,이성원,장안고,포수
22,이승민,동국대학교,포수
23,백선기,상원고,외야수
24,김민기,덕수고,내야수
25,송찬의,선린인터넷고,내야수
26,조병규,세광고,내야수
27,최보성,개성고,내야수
28,공민규,인천고,내야수
29,강동권,용마고,내야수
30,문장은,배재고,내야수
31,이창엽,한양대학교,내야수
32,서주원,대전고,포수
33,정보근,경남고,포수
34,정문근,서울고,외야수
35,최우혁,홍익대학교,포수
36,조대현,유신고,포수
37,장두성,동산고,외야수
38,문성주,강릉영동대학교,외야수
39,정동욱,원광대학교,포수
40,이인혁,덕수고,외야수
41,권민석,강릉고,내야수
