순위,이름,학교,포지션
1,양창섭,덕수고,투수
2,이승헌,용마고,투수
3,이승관,야탑고,투수
4,조성훈,청원고,투수
5,김유신,세광고,투수
6,성동현,장충고,투수
7,김선기,상무,투수
8,박신지,경기고,투수
9,최건,장충고,투수
10,김태우,경북고,투수
11,정성종,인하대,투수
12,박주홍,광주일고,투수
13,최민준,경남고,투수
14,하준영,성남고,투수
15,정철원,안산공고,투수
16,박재영,용마고,투수
17,김용하,광주일고,투수
18,김도규,안산공고,투수
19,유호식,성남고,투수
20,이원빈,부산고,투수
21,김민규,휘문고,투수
22,김동우,연세대,투수
23,조선명,성지고,투수
24,김재균,충암고,투수
25,윤강찬,김해고,투수
26,김현,상원고,투수
27,임지훈,군산상고,투수
28,윤희영,경성대,투수
29,이강욱,연세대,투수
30,신민혁,야탑고,투수
31,배창현,경북고,투수
32,신병률,단국대,투수
33,김윤수,북일고,투수
34,이채호,용마고,투수
35,김승범,동산고,투수
36,김의준,동성고,투수
37,신효승,경북고,투수
38,공수빈,경성대,투수
39,박용민,덕수고,투수
40,최하늘,경기고,투수
41,최경태,포철고,투수
42,백미카엘,덕수고,투수
43,박성모,인하대,투수
44,박주현,충암고,투수
45,박지호,영남대,투수
46,양경민,효천고,투수
47,이나현,충암고,투수
48,이재승,배명고,투수
49,김영규,광주일고,투수
50,신현수,대전고,투수
51,이희재,경북고,투수
52,윤중현,성균관대,투수
53,조재건,부천고,투수
54,이승헌,고려대,투수
55,정우석,신일고,투수
56,맹성주,배명고,투수
57,김진욱,유신고,투수
58,송현제,배명고,투수
59,박희주,동의대,투수
