순위,이름(팀명),경기,승,패,세이브,이닝,타자,타수,피안타,피홈,희생,4구,사구,삼진,실점,자책,투구,S,방어율
1,김정우(동산고),24,5,0,0,28,107,95,15,0,2,5,3,29,5,3,422,0,0.965
2,김영준(선린인고),18,5,1,0,65,258,219,44,0,12,15,8,55,19,7,987,0,0.97
3,안승민(원주고),14,0,1,0,17.2,73,63,11,0,1,5,4,8,6,2,282,0,1.02
4,남가현(배명고),23,2,1,0,26,103,85,16,0,6,9,1,18,5,3,381,0,1.04
5,정철원(안산공고),23,9,0,0,85,334,290,59,0,7,30,7,82,17,10,1230,0,1.059
6,임종현(휘문고),17,2,0,0,17,75,64,17,0,1,4,6,11,3,2,259,0,1.059
7,최민준(경남고),30,11,1,0,81,315,279,42,0,4,21,11,94,15,10,1148,0,1.111
8,박동수(덕수고),30,7,0,0,60.2,240,209,47,0,6,18,5,63,13,8,952,0,1.188
9,김기훈(동성고),29,5,2,0,58,231,185,25,3,7,28,9,77,12,8,982,0,1.242
10,김의준(동성고),29,8,1,0,91.2,367,320,60,0,9,31,5,88,17,13,1407,0,1.278
11,신기인(동성고),29,5,1,0,35,138,119,23,0,3,9,7,33,9,5,503,0,1.287
12,천영길(상원고),18,1,0,0,26.1,106,89,21,0,6,9,2,13,4,4,339,0,1.367
13,이성준(군산상고),24,5,0,0,32,129,108,18,0,4,12,5,28,6,5,487,0,1.407
14,양창섭(덕수고),30,7,2,0,50.1,198,178,39,0,9,7,2,56,10,8,692,0,1.431
15,신민혁(야탑고),23,8,3,0,81.2,307,281,49,1,10,13,3,83,22,13,1090,0,1.433
16,김민철(야탑고),23,2,0,0,31.1,136,112,24,0,3,18,3,36,6,5,505,0,1.437
17,장민호(중앙고),16,0,1,0,36,153,130,29,1,4,7,12,23,15,6,550,0,1.501
18,윤진혁(마산고),15,2,1,0,23.2,94,84,19,0,1,6,1,15,7,4,334,0,1.522
19,백종범(인창고),14,1,1,0,23.2,108,78,13,0,8,17,5,13,11,4,367,0,1.522
20,하현호(제물포고),16,3,2,0,23.2,101,71,10,0,4,24,2,19,8,4,421,0,1.522
21,김주섭(대구고),14,2,1,0,17.2,79,65,16,0,4,7,1,16,6,3,282,0,1.53
22,이채호(마산용마고),28,10,4,0,86.2,353,290,48,2,10,32,21,82,21,15,1318,0,1.559
23,김기수(청원고),17,3,2,0,45.1,186,161,42,0,6,19,0,31,11,8,705,0,1.589
24,안우진(휘문고),17,3,3,0,50.2,199,166,27,0,6,19,8,63,13,9,783,0,1.599
25,김도윤(유신고),21,2,0,0,26.2,115,89,16,0,2,19,5,13,6,5,426,0,1.688
26,이승관(야탑고),23,3,1,0,37.1,154,130,23,1,5,12,5,46,17,7,593,0,1.689
27,이승헌(마산용마고),28,7,1,0,74.1,290,254,44,1,10,20,6,94,27,14,1095,0,1.697
28,방준혁(강릉고),17,3,0,0,31.2,137,108,27,0,9,10,10,24,9,6,488,0,1.708
29,전용주(안산공고),23,3,1,0,40.1,157,135,26,1,4,9,5,58,10,8,610,0,1.786
30,조영건(백송고),17,4,2,0,60.1,256,219,43,1,4,20,8,70,19,12,950,0,1.79
31,최경태(포항제철고),21,6,2,0,63.2,285,240,68,1,10,22,9,32,28,13,896,0,1.838
32,최민규(공주고),15,2,2,0,24,101,78,18,1,9,7,1,11,7,5,322,0,1.879
33,배창현(경북고),27,4,1,0,57.1,244,198,43,1,15,23,8,52,23,12,898,0,1.885
34,박계륜(세광고),20,3,2,0,32.2,146,120,31,0,7,10,8,22,11,7,537,0,1.93
34,김경환(물금고),13,0,2,0,14,69,47,9,0,4,13,1,12,7,3,250,0,1.93
34,고경민(유신고),21,5,0,0,37.1,144,136,26,1,3,4,1,36,9,8,526,0,1.93
37,김도규(안산공고),23,6,3,0,59.2,254,209,50,0,10,28,5,50,18,13,908,0,1.962
38,임지훈(군산상고),24,1,2,0,40.2,163,135,22,0,5,17,6,38,10,9,622,0,1.993
39,백종걸(공주고),15,2,1,0,44.1,184,161,41,0,6,9,6,13,17,10,614,0,2.031
40,신현수(대전고),23,7,4,0,81.2,344,305,73,0,16,17,4,77,33,19,1215,0,2.095
41,홍원표(부천고),17,1,2,0,25.2,105,88,20,1,5,11,1,32,7,6,408,0,2.106
42,서준원(경남고),30,7,2,0,85.1,345,301,62,3,14,14,10,84,26,20,1223,0,2.11
43,김진섭(제주고),17,0,3,0,17,72,62,14,0,1,4,3,12,9,4,252,0,2.12
44,김태우(경북고),27,3,1,0,55,242,200,39,4,6,27,9,51,21,13,876,0,2.129
45,서장민(소래고),18,2,2,0,37.2,155,133,29,1,9,9,2,41,12,9,555,0,2.152
46,박주홍(광주제일고),20,6,4,0,50,217,177,39,0,11,24,3,58,19,12,880,0,2.161
47,김영규(광주제일고),20,3,0,0,40.2,161,149,33,0,1,10,1,43,15,10,618,0,2.215
48,조민석(부천고),17,3,4,0,48.2,217,181,39,1,6,25,5,52,25,12,844,0,2.22
49,배민서(상원고),18,2,1,0,28.1,122,99,27,0,6,6,7,20,10,7,432,0,2.225
49,곽빈(배명고),23,2,2,0,28.1,112,92,16,0,8,6,6,41,9,7,431,0,2.225
49,김은빈(청주고),14,2,1,0,28.1,116,97,21,0,5,12,0,17,8,7,464,0,2.225
52,이정오(진흥고),20,7,1,0,64.2,271,238,53,0,6,19,8,63,21,16,967,0,2.228
53,전지환(부산고),15,1,1,0,36,147,130,28,0,3,10,4,27,11,9,545,0,2.251
54,김재균(충암고),25,11,0,0,115.2,476,407,92,0,17,47,5,113,38,29,1825,0,2.257
55,김겸재(부산정보고),15,4,3,0,46.2,196,169,43,1,6,8,11,42,18,12,706,0,2.315
56,최진완(배명고),23,2,1,0,27,128,101,27,0,5,12,6,27,17,7,478,0,2.336
57,박진(부산고),15,2,1,0,23,88,76,13,0,2,6,4,26,9,6,318,0,2.35
58,김선우(신일고),22,1,0,0,26.2,112,89,14,0,5,17,1,27,8,7,443,0,2.363
59,김민재(경주고),16,1,1,0,26.2,119,89,17,0,9,16,3,15,9,7,453,0,2.364
60,김현수(장충고),19,2,2,0,30.1,117,107,23,1,2,5,1,26,11,8,402,0,2.377
61,이원빈(부산고),15,3,4,0,47.2,202,155,33,2,6,28,5,38,21,13,726,0,2.456
62,이믿음(강릉고),17,3,2,0,44,181,160,30,2,3,11,7,43,16,12,609,0,2.457
63,맹성주(배명고),23,2,0,0,36,160,123,24,1,4,19,14,29,14,10,593,0,2.502
64,김진욱(유신고),21,3,2,0,35.2,135,122,21,1,2,7,4,33,11,10,442,0,2.526
65,이희재(경북고),27,3,1,0,32,147,117,26,0,6,14,8,28,15,9,538,0,2.534
66,강백호(서울고),31,3,2,0,31.2,143,116,27,0,5,14,4,49,15,9,560,0,2.559
67,조유한(배재고),18,3,6,0,66.2,285,228,55,1,12,29,13,31,27,19,992,0,2.566
68,한영섭(대전고),23,3,0,0,31,128,106,19,0,2,15,5,11,10,9,474,0,2.615
69,김민(유신고),21,2,1,0,24,107,83,19,0,4,17,3,29,7,7,405,0,2.627
70,이찬진(제물포고),16,2,2,0,37.2,165,141,35,1,4,18,2,45,16,11,646,0,2.63
71,노윤상(제주고),17,3,1,0,40.2,163,145,31,0,6,10,2,42,20,12,643,0,2.656
71,박현진(장안고),17,3,3,0,40.2,161,139,29,1,2,13,7,39,16,12,595,0,2.656
73,김시훈(마산고),15,6,3,0,73.1,306,261,55,0,13,22,6,84,29,22,1082,0,2.701
74,박재영(마산용마고),28,5,0,0,72.1,298,258,63,4,8,25,7,83,29,22,1177,0,2.739
75,손동현(성남고),18,2,6,0,46,192,160,33,0,13,13,4,48,19,14,721,0,2.742
76,이진성(물금고),13,5,3,0,58.2,246,224,59,0,9,8,5,54,28,18,829,0,2.762
77,정대헌(울산공고),13,1,6,0,45.1,206,162,40,0,10,18,14,44,23,14,735,0,2.782
78,이다빈(인천고),20,5,1,0,35.1,144,125,32,2,4,8,5,26,13,11,508,0,2.803
79,이민수(세광고),20,2,0,0,31.2,135,114,27,0,4,17,0,24,12,10,497,0,2.844
80,이정원(휘문고),17,2,1,0,34.2,141,122,27,1,4,8,3,23,18,11,530,0,2.856
81,성동현(장충고),19,3,3,0,43.1,178,148,28,0,5,15,7,34,19,14,683,0,2.909
82,유정연(대구고),14,2,2,0,36.2,156,128,27,1,5,18,3,43,15,12,612,0,2.948
83,김정민(진영고),16,0,2,0,21.1,99,72,15,0,7,16,2,13,18,7,370,0,2.954
84,안광준(설악고),19,4,5,0,75.1,332,283,81,1,19,17,11,46,38,25,1116,0,2.989
85,임경민(대전제일고),15,0,1,0,15,66,51,10,0,2,11,2,3,6,5,232,0,3.002
86,손호진(송탄제일고),18,6,3,0,80.1,341,284,59,0,4,35,16,93,30,27,1317,0,3.027
87,주승우(서울고),31,7,1,0,77,303,267,64,3,13,21,2,64,29,26,1143,0,3.041
88,김유신(세광고),20,3,1,0,23.2,98,83,16,1,2,13,0,33,8,8,374,0,3.044
89,신준혁(배재고),18,7,2,0,82.2,333,270,68,0,17,37,5,35,30,28,1106,0,3.049
90,김철민(율곡고),25,6,0,0,50,202,179,37,0,4,13,6,44,20,17,783,0,3.062
91,성시헌(북일고),16,1,4,0,58.2,244,208,45,1,8,20,8,51,28,20,895,0,3.071
92,권민수(군산상고),24,6,2,0,44,189,165,47,0,7,9,6,20,22,15,661,0,3.072
93,백승건(인천고),20,2,0,0,37.1,161,119,32,0,10,25,7,24,15,13,622,0,3.137
94,임경목(마산고),15,1,1,0,20,81,74,21,0,5,1,1,17,8,7,295,0,3.153
95,조강희(충훈고),14,0,4,0,28.1,128,102,25,1,6,12,6,19,19,10,454,0,3.179
96,박주현(충암고),25,2,1,0,30.2,136,111,28,0,3,15,7,34,20,11,530,0,3.232
97,김지석(전주고),16,0,4,0,33.1,143,113,23,1,7,12,7,15,16,12,512,0,3.244
98,김태환(신일고),22,8,3,0,72,297,241,51,0,23,24,9,64,33,26,1093,0,3.253
99,하준영(성남고),18,4,2,0,69,285,250,59,1,10,20,5,70,29,25,1087,0,3.263
100,허고겸(인상고),17,0,1,0,30.1,144,122,33,0,3,13,6,23,25,11,528,0,3.265
